발생일시,관할해경서,발생해역,발생유형,발생원인,기상,사고선박수,구조인원,부상인원,사망인원,사고위치,위도,경도,선종,톤수,geometry
2020-11-02 16:20,포항,항계 내,접촉,운항부주의,양호,1.0,13.0,0.0,0.0,,36.015,129.4125,화물선,1598.0,POINT (129.4125 36.015)
2020-11-02 16:20,포항,항계 내,접촉,운항부주의,양호,1.0,14.0,0.0,0.0,,36.015,129.4125,화물선,1986.0,POINT (129.4125 36.015)
2020-11-02 15:50,포항,항계 내,운항저해,배터리 방전,양호,1.0,6.0,0.0,0.0,,36.06666666666667,129.46666666666667,요트,27.0,POINT (129.46666666666667 36.06666666666667)
2020-11-02 13:40,인천,영해,부유물감김,운항부주의,양호,1.0,6.0,0.0,0.0,,37.276666666666664,126.51638888888888,어선,7.93,POINT (126.51638888888888 37.276666666666664)
2020-11-02 13:13,창원,영해,침수,정비불량,양호,1.0,2.0,0.0,0.0,,35.013888888888886,128.61833333333334,예부선,43.0,POINT (128.61833333333334 35.013888888888886)
2020-11-02 12:30,제주,영해,부유물감김,운항부주의,양호,1.0,1.0,0.0,0.0,,33.916666666666664,126.58333333333333,어선,4.87,POINT (126.58333333333333 33.916666666666664)
2020-11-02 11:42,포항,영해,침수,정비불량,양호,1.0,1.0,0.0,0.0,,35.70861111111111,129.48333333333332,어선,1.05,POINT (129.48333333333332 35.70861111111111)
2020-11-02 08:18,부안,영해,추진기손상,정비불량,양호,1.0,3.0,0.0,0.0,,35.62638888888889,126.45305555555555,모터보트,0.3,POINT (126.45305555555555 35.62638888888889)
2020-11-01 20:29,통영,영해,기관손상,정비불량,양호,1.0,6.0,0.0,0.0,,34.283055555555556,128.38777777777779,어선,7.93,POINT (128.38777777777779 34.283055555555556)
2020-11-01 19:20,포항,영해,운항저해,배터리 방전,양호,1.0,5.0,0.0,0.0,,35.814166666666665,129.51527777777778,낚시어선,2.5,POINT (129.51527777777778 35.814166666666665)
2020-11-01 13:43,서귀포,영해,추진기손상,정비불량,양호,1.0,2.0,0.0,0.0,,33.263333333333335,126.7136111111111,모터보트,0.77,POINT (126.7136111111111 33.263333333333335)
2020-11-01 13:01,평택,영해-EEZ,침수,운항부주의,양호,1.0,1.0,0.0,0.0,,37.11055555555556,126.65305555555555,어선,0.83,POINT (126.65305555555555 37.11055555555556)
2020-11-01 12:51,포항,영해,운항저해,연료고갈,양호,1.0,2.0,0.0,0.0,,35.9,129.56666666666666,고무보트,1.0,POINT (129.56666666666666 35.9)
2020-11-01 12:12,인천,영해,표류,정비불량,양호,1.0,1.0,0.0,0.0,,37.40027777777778,126.47416666666666,어선,9.77,POINT (126.47416666666666 37.40027777777778)
