구분,명칭,경도,위도
해수욕장,대천,126.513182,36.310454
해수욕장,무창포,126.536648,36.245611
해수욕장,춘장대,126.523262,36.163891
해수욕장,갈음이,126.152227,36.69675
해수욕장,곰섬,126.289959,36.588914
해수욕장,구례포,126.198056,36.886903
해수욕장,구름포,126.153673,36.837666
해수욕장,기지포,126.323032,36.560412
해수욕장,꽃지,126.336046,36.497209
해수욕장,꾸지나무꼴,126.292612,36.935309
해수욕장,달산포,126.295976,36.654146
해수욕장,두여,126.329551,36.542128
해수욕장,마검포,126.2883,36.614683
해수욕장,만리포,126.144335,36.788032
해수욕장,몽산포,126.286725,36.669982
해수욕장,바람아래,126.377094,36.412252
해수욕장,밧개,126.330699,36.530833
해수욕장,방주골,126.154967,36.812134
해수욕장,방포,126.332586,36.509481
해수욕장,백사장,126.313998,36.579008
해수욕장,삼봉,126.316998,36.568375
해수욕장,샛별,126.335153,36.449184
해수욕장,신두리,126.184719,36.837418
해수욕장,안면,126.328613,36.549541
해수욕장,어은돌,126.129596,36.752852
해수욕장,연포,126.209199,36.693517
해수욕장,의항,126.160668,36.827573
해수욕장,장삼포,126.360599,36.422364
해수욕장,천리포,126.150398,36.802542
해수욕장,청포대,126.301091,36.639995
해수욕장,통개,126.145167,36.72958
해수욕장,파도리,126.134261,36.74087
해수욕장,학암포,126.203471,36.898105
해수욕장,신양섭지코지,126.923021,33.434809
해수욕장,중문색달,126.411482,33.245125
해수욕장,표선해비치,126.837355,33.327998
해수욕장,화순금모래,126.333709,33.239967
해수욕장,곽지과물,126.304716,33.450627
해수욕장,금능으뜸원,126.235091,33.389768
해수욕장,김녕성세기,126.759463,33.557734
해수욕장,삼양검은모래,126.585804,33.526016
해수욕장,이호테우,126.451821,33.497263
해수욕장,함덕서우봉,126.669279,33.543276
해수욕장,협재,126.23921,33.394103
파출소,감천파출소,129.0005581,35.08440914
파출소,감포파출소,129.505941,35.80912733
파출소,강구파출소,129.390191,36.35919371
파출소,강동파출소,128.9189368,37.79362696
파출소,강릉파출소,128.951389,37.763097
파출소,강화파출소,126.380903,37.700698
파출소,거문파출소,127.3089592,34.02792782
파출소,거제남부파출소,128.5847473,34.71547335
파출소,거진파출소,128.4591056,38.44861486
파출소,고성파출소,128.321482,34.960177
파출소,고창파출소,126.4398511,35.44925536
파출소,고현파출소,128.6162438,34.89371332
파출소,광안리파출소,129.130192,35.15436316
파출소,광양파출소,127.695967,34.92356932
파출소,구룡포파출소,129.5542939,35.98920093
파출소,기장파출소,129.2417007,35.24303835
파출소,김포파출소,126.7869696,37.59765522
파출소,나로도파출소,127.4535675,34.46615055
파출소,낙산파출소,128.631162,38.116333
파출소,남항파출소,129.025326,35.092111
파출소,남해파출소,128.0457279,34.70817222
파출소,노량파출소,127.8633981,34.94884994
파출소,노화파출소,126.5663803,34.17718417
파출소,녹동파출소,127.1456803,34.52482958
파출소,다대파출소,128.9835121,35.06941971
파출소,당진파출소,126.5619235,37.02893785
파출소,대부파출소,126.6466116,37.1921207
파출소,대산파출소,126.4521431,37.0030796
파출소,대천파출소,126.5089547,36.32744391
파출소,대청파출소,124.7149645,37.82601607
파출소,대포파출소,128.607253,38.171366
파출소,돌산파출소,127.7208587,34.61391305
파출소,땅끝파출소,126.5278822,34.29897546
파출소,마량파출소,126.822196,34.44908599
파출소,마산파출소,128.5684421,35.1925101
파출소,명지파출소,128.9310233,35.10654748
파출소,모항파출소,126.1317119,36.77621749
파출소,묵호파출소,129.1173887,37.54785711
