번호,처리현황,신고번호,지역,접수일자,신고종류,활동종류,활동시작일,활동마지막일,기간
115,신고수리완료,2020-통영-174,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
116,신고수리완료,2020-통영-175,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
117,신고수리완료,2020-통영-176,통영,2020-08-20,건별 신고,수상,2020-08-20,2020-08-20,0
118,신고수리완료,2020-통영-166,통영,2020-08-19,건별 신고,수상,2020-08-17,2020-08-17,0
119,신고수리완료,2020-통영-167,통영,2020-08-19,건별 신고,수상,2020-08-17,2020-08-17,0
120,신고수리완료,2020-통영-168,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
121,신고수리완료,2020-통영-169,통영,2020-08-19,건별 신고,수상,2020-08-18,2020-08-18,0
122,신고수리완료,2020-통영-170,통영,2020-08-19,건별 신고,수상,2020-08-18,2020-08-18,0
123,신고수리완료,2020-통영-171,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
124,신고수리완료,2020-통영-172,통영,2020-08-19,건별 신고,수상,2020-08-19,2020-08-19,0
125,신고수리완료,2020-여수-59,여수,2020-08-18,건별 신고,수중,2020-08-19,2020-08-19,0
126,신고수리완료,2020-통영-161,통영,2020-08-18,건별 신고,수상,2020-08-17,2020-08-17,0
127,신고수리완료,2020-통영-162,통영,2020-08-18,건별 신고,수상,2020-08-17,2020-08-17,0
128,신고수리완료,2020-통영-163,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
129,신고수리완료,2020-통영-164,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
130,신고수리완료,2020-통영-165,통영,2020-08-18,건별 신고,수상,2020-08-18,2020-08-18,0
131,신고수리완료,2020-여수-57,여수,2020-08-17,건별 신고,수중,2020-08-18,2020-08-18,0
132,신고수리완료,2020-통영-152,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
133,신고수리완료,2020-통영-153,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
134,신고수리완료,2020-통영-154,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
135,신고수리완료,2020-통영-155,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
136,신고수리완료,2020-통영-156,통영,2020-08-17,건별 신고,수상,2020-08-16,2020-08-16,0
137,신고수리완료,2020-통영-157,통영,2020-08-17,건별 신고,수상,2020-08-16,2020-08-16,0
138,신고수리완료,2020-통영-158,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
139,신고수리완료,2020-통영-159,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
140,신고수리완료,2020-통영-160,통영,2020-08-17,건별 신고,수상,2020-08-17,2020-08-17,0
141,신고수리완료,2020-여수-56,여수,2020-08-16,건별 신고,수중,2020-08-17,2020-08-17,0
142,신고수리완료,2020-통영-146,통영,2020-08-16,건별 신고,수상,2020-08-15,2020-08-15,0
143,신고수리완료,2020-통영-147,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
144,신고수리완료,2020-통영-148,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
145,신고수리완료,2020-통영-149,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
146,신고수리완료,2020-통영-150,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
147,신고수리완료,2020-통영-151,통영,2020-08-16,건별 신고,수상,2020-08-16,2020-08-16,0
148,신고수리완료,2020-여수-55,여수,2020-08-15,건별 신고,수중,2020-08-16,2020-08-16,0
149,신고수리완료,2020-통영-140,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
150,신고수리완료,2020-통영-141,통영,2020-08-15,건별 신고,수상,2020-08-14,2020-08-14,0
151,신고수리완료,2020-통영-142,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
152,신고수리완료,2020-통영-143,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
153,신고수리완료,2020-통영-144,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
154,신고수리완료,2020-통영-145,통영,2020-08-15,건별 신고,수상,2020-08-15,2020-08-15,0
155,신고수리완료,2020-여수-53,여수,2020-08-14,건별 신고,수중,2020-08-14,2020-08-14,0
156,신고수리완료,2020-여수-54,여수,2020-08-14,건별 신고,수중,2020-08-15,2020-08-15,0
157,신고수리완료,2020-통영-131,통영,2020-08-14,건별 신고,수상,2020-08-11,2020-08-11,0
158,신고수리완료,2020-통영-132,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
159,신고수리완료,2020-통영-133,통영,2020-08-14,건별 신고,수상,2020-08-13,2020-08-13,0
160,신고수리완료,2020-통영-134,통영,2020-08-14,건별 신고,수상,2020-08-13,2020-08-13,0
161,신고수리완료,2020-통영-135,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
162,신고수리완료,2020-통영-136,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
163,신고수리완료,2020-통영-137,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
164,신고수리완료,2020-통영-138,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
165,신고수리완료,2020-통영-139,통영,2020-08-14,건별 신고,수상,2020-08-14,2020-08-14,0
166,신고수리완료,2020-통영-125,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
167,신고수리완료,2020-통영-126,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
168,신고수리완료,2020-통영-127,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
169,신고수리완료,2020-통영-128,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
170,신고수리완료,2020-통영-129,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
171,신고수리완료,2020-통영-130,통영,2020-08-13,건별 신고,수상,2020-08-13,2020-08-13,0
172,신고수리완료,2020-통영-123,통영,2020-08-11,건별 신고,수상,2020-08-11,2020-08-11,0
173,신고수리완료,2020-통영-124,통영,2020-08-11,건별 신고,수상,2020-08-11,2020-08-11,0
174,신고수리완료,2020-제주-2,제주,2020-08-09,기간제 신고,수중,2020-08-23,2020-11-22,91
175,신고수리완료,2020-통영-113,통영,2020-08-09,건별 신고,수상,2020-08-08,2020-08-08,0
176,신고수리완료,2020-통영-114,통영,2020-08-09,건별 신고,수상,2020-08-08,2020-08-08,0
177,신고수리완료,2020-통영-115,통영,2020-08-09,건별 신고,수상,2020-08-08,2020-08-08,0
178,신고수리완료,2020-통영-116,통영,2020-08-09,건별 신고,수상,2020-08-08,2020-08-08,0
179,신고수리완료,2020-통영-117,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
180,신고수리완료,2020-통영-118,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
181,신고수리완료,2020-통영-119,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
182,신고수리완료,2020-통영-120,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
183,신고수리완료,2020-통영-121,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
184,신고수리완료,2020-통영-122,통영,2020-08-09,건별 신고,수상,2020-08-09,2020-08-09,0
185,신고수리완료,2020-통영-109,통영,2020-08-08,건별 신고,수상,2020-08-07,2020-08-07,0
186,신고수리완료,2020-통영-110,통영,2020-08-08,건별 신고,수상,2020-08-08,2020-08-08,0
187,신고수리완료,2020-통영-111,통영,2020-08-08,건별 신고,수상,2020-08-08,2020-08-08,0
188,신고수리완료,2020-통영-112,통영,2020-08-08,건별 신고,수상,2020-08-08,2020-08-08,0
189,신고수리완료,2020-통영-105,통영,2020-08-07,건별 신고,수상,2020-08-07,2020-08-07,0
190,신고수리완료,2020-통영-106,통영,2020-08-07,건별 신고,수상,2020-08-07,2020-08-07,0
191,신고수리완료,2020-통영-107,통영,2020-08-07,건별 신고,수상,2020-08-07,2020-08-07,0
192,신고수리완료,2020-통영-108,통영,2020-08-07,건별 신고,수상,2020-08-07,2020-08-07,0
193,신고수리완료,2020-통영-102,통영,2020-08-05,건별 신고,수상,2020-08-05,2020-08-05,0
194,신고수리완료,2020-통영-103,통영,2020-08-05,건별 신고,수상,2020-08-05,2020-08-05,0
195,신고수리완료,2020-통영-104,통영,2020-08-05,건별 신고,수상,2020-08-05,2020-08-05,0
