발생일자,연도,시간,시간대,요일,지방청,해경서, 파출소,시·도,시·군·구,읍·면·동,상세주소,대분류,중분류,위치,대분류,세분류,위도,경도
2012-03-25,2012,,,,서해 지방청,완도,회진 파출소,전라남도,완도군,금당면,전남 완도군 금당면 울포 여객선 부두,항포구,울포항,물량장,비침수,추락,34.42769444,127.0749806
2012-03-26,2012,13:30,,,중부 지방청,인천,연평 파출소,인천광역시,웅진군,연평면,인천 옹진군 연평면 당섬 외항선착장,항포구,당섬,외항 선착장,비침수,추락,37.655725,125.7129833
2012-05-19,2012,,,,동해 지방청,동해,울릉 파출소,경상북도,울릉군,서면,거북바위 물양장 내,항포구,거북바위,물량장,침수,추락,37.46024167,130.8579778
2012-05-26,2012,01:06,,,서해 지방청,여수,봉산 파출소,전라남도,여수시,학동,여수시 학동 충무공 유적지(선소) 앞,해안가,충무공 유적지(선소),해안도로,침수,추락,34.75523611,127.6636972
2012-05-28,2012,20:58,,,중부 지방청,인천,영흥 파출소,인천광역시,웅진군,영흥면,인천 옹진군 영흥면 선재리 선재선착장 앞 ,항포구,선재리,선착장,침수,추락,37.23511111,126.5383889
2012-06-04,2012,09:28,오전,월요일,중부 지방청,평택,대산 파출소,충청남도,당진시,석문면,당진시 석문면 난지도리 도비도선착장,항포구,도비도항,선착장,,추락,37.01821389,126.4616139
2012-06-15,2012,02:50,심야,금요일,서해 지방청,목포,북항 파출소,전라남도,목포시,북항동,전남 목포시 북항 1부두,항포구,북항,1부두,침수,추락,34.80612778,126.3617417
2012-06-25,2012,19:40,,,중부 지방청,태안,대천 파출소,충청남도,보령시,신흑동,대천항 대천파출소 앞 ,항포구,대천항,대천파출소,침수,추락,36.32760833,126.5089056
2012-07-01,2012,13:30,오후,일요일,동해 지방청,포항,영일만 파출소,경상북도,포항시,북구,영일만항 낚시어선 부두앞 ,해안가,영일만항,낚시 부두,침수,추락,36.11046667,129.4356889
2012-07-02,2012,11:21,오전,월요일,동해 지방청,속초,속초 파출소,강원도,속초시,동명항길,속초시 속초항 여객선부두에서 전용부두 사이 10m ,항포구,속초항,,침수,추락,38.20962778,128.5940333
2012-07-03,2012,,,,서해 지방청,목포,영광 파출소,전라남도,영광군,염산면,향화도 선착장 앞 ,항포구,향화도항,향화도 선착장,침수,추락,35.1689,126.3591722
2012-07-19,2012,08:05,,,서해 지방청,여수,나로도 파출소,전라남도,고흥군,동일면,고흥군 동일면 소영리 소영선착장,항포구,,소영 선착장,침수,추락,34.48430556,127.4710917
2012-08-05,2012,03:45,,,서해 지방청,여수,봉산 파출소,전라남도,여수시,중아동,여수시 중앙동 이순신 광장 앞,해안가,이순신 광장,해안도로,침수,추락,34.73876667,127.7352167
2012-08-07,2012,,,,서해 지방청,완도,마량 파출소,전라남도,강진군,마량면,전남 강진군 마량면 중방파제 우측 물량장,항포구,마량항,물량장,비침수,추락,34.44896389,126.8240861
2012-08-08,2012,14:58,,,제주 지방청,제주,제주 파출소,제주특별자치도,제주시,건입동,"남해고속카훼리7호 정박, 제주항 31번석 앞 ",항포구,제주항,3부두,침수,추락,33.52008333,126.5358889
2012-08-16,2012,19:30,,,동해 지방청,포항,후포 파출소,경상북도,울진군,평해읍,직산항내,항포구,직산항,슬립웨이,침수,추락,36.72495556,129.4730833
2012-08-30,2012,21:50,,,중부 지방청,인천,영흥 파출소,인천광역시,웅진군,영흥면,인천 옹진군 영흥면 내리 붉은노리 해안,해안가,붉은노리펜션 앞,해안도로,침수,추락,37.25275,126.4755
2012-09-03,2012,,,,남해 지방청,울산, 대변 파출소,부산광역시,기장군,기장읍,부산시 기장군 기장읍 죽성리 월전항,항포구,월전항,활어판매장 앞,침수,추락,35.23813056,129.2449806
2012-09-04,2012,11:00,,,제주 지방청,제주,한림 파출소,제주특별자치도,제주시,한림읍,제주시 한림읍 금능리 금능어촌계회관 앞 물양장,항포구,,,침수,추락,33.38988889,126.2280556
2012-09-11,2012,23:55,,,남해 지방청,부산,다대 파출소,부산광역시,사하구,다대동,다대항 활어위판장 앞 ,항포구,다대포항,물량장,침수,추락,35.05436111,128.9722778
2012-09-16,2012,미상,,,동해 지방청,포항,감포 파출소,경상북도,경주시,감포읍,전촌항 남방파제 등대 인근 20미터해중,항포구,전촌항,남방파제,침수,추락,35.78988889,129.4943333
2012-09-17,2012,,,,서해 지방청,목포,북항 파출소,전라남도,무안군,망운면,조금나루 선착장,항포구,조금나루,선착장,침수,추락,34.99334444,126.3331611
2012-09-30,2012,12:50,,,중부 지방청,인천,대청 파출소,인천광역시,웅진군,용기포,백령 용기포 선착장 부두,항포구,용기포,선착장,침수,추락,37.95513889,124.7356111
2012-09-30,2012,23:25,저녁,일요일,서해 지방청,여수,녹동 파출소,전라남도,보성군,득량면,전남 보성군 득량면 비봉리 516-16번지 앞,해안가,비봉리 해안가,해인도로,침수,추락,34.71036111,127.1981389
2012-09-30,2012,21:30,,,남해 지방청,부산,영도 파출소,부산광역시,영도구,봉래동,부산대교 영도방면 (봉래동 물량장),항포구,부산대교,,침수,추락,35.09533333,129.0397667
2012-10-03,2012,09:15,,,제주 지방청,서귀포,성산 파출소,제주특별자치도,서귀포시,성산읍,성산읍 오조~시흥 사이 해안가(오조리 해녀의 집에서 시흥방향 300m지점),해안가,,,침수,추락,33.46988056,126.9193278
2012-10-20,2012,20:48,,,남해 지방청,부산,송정 파출소,부산광역시,해운대구,중동,씨월드 회센터 앞 ,해안가,미포항,미포횟집,침수,추락,35.15838889,129.1708611
